v8-version,11,3,244,8,-node.23,0
v8-platform,macos,macos
shared-library,/Users/darksystem/.local/share/nvm/v20.15.0/bin/node,0x11f6bb000,0x12100d23a,263573504
shared-library,/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation,0x7ff8011b10d0,0x7ff801388371,6852608
shared-library,/System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal,0x7ff8046136b0,0x7ff80464cdf0,6852608
shared-library,/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation,0x7ff8020e2470,0x7ff80298ce01,6852608
shared-library,/usr/lib/libobjc.A.dylib,0x7ff800d7b340,0x7ff800da8544,6852608
shared-library,/usr/lib/libc++abi.dylib,0x7ff8010f8f80,0x7ff801109a2e,6852608
shared-library,/usr/lib/liboah.dylib,0x7ff80ea4b180,0x7ff80ea50dca,6852608
shared-library,/usr/lib/libc++.1.dylib,0x7ff80107d710,0x7ff8010cfb16,6852608
shared-library,/usr/lib/libSystem.B.dylib,0x7ff80ea806ee,0x7ff80ea80cdc,6852608
shared-library,/usr/lib/system/libcache.dylib,0x7ff80ea7a71c,0x7ff80ea7d47c,6852608
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x7ff80ea359f0,0x7ff80ea3fe6c,6852608
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x7ff80ea5dddc,0x7ff80ea62c45,6852608
shared-library,/usr/lib/system/libcopyfile.dylib,0x7ff80ea53390,0x7ff80ea5b236,6852608
shared-library,/usr/lib/system/libcorecrypto.dylib,0x7ff800eb4600,0x7ff800f44134,6852608
shared-library,/usr/lib/system/libdispatch.dylib,0x7ff800fab320,0x7ff800fe0c8f,6852608
shared-library,/usr/lib/system/libdyld.dylib,0x7ff801154f60,0x7ff801176c30,6852608
shared-library,/usr/lib/system/libkeymgr.dylib,0x7ff80ea6fae7,0x7ff80ea6ff18,6852608
shared-library,/usr/lib/system/libmacho.dylib,0x7ff80ea17468,0x7ff80ea1b8c7,6852608
shared-library,/usr/lib/system/libquarantine.dylib,0x7ff80dd45de5,0x7ff80dd47c90,6852608
shared-library,/usr/lib/system/libremovefile.dylib,0x7ff80ea6d6c0,0x7ff80ea6ed77,6852608
shared-library,/usr/lib/system/libsystem_asl.dylib,0x7ff806752304,0x7ff8067665f8,6852608
shared-library,/usr/lib/system/libsystem_blocks.dylib,0x7ff800e4e108,0x7ff800e50490,6852608
shared-library,/usr/lib/system/libsystem_c.dylib,0x7ff800ff56e0,0x7ff8010741f8,6852608
shared-library,/usr/lib/system/libsystem_collections.dylib,0x7ff80ea65ec2,0x7ff80ea699dc,6852608
shared-library,/usr/lib/system/libsystem_configuration.dylib,0x7ff80cb97fe4,0x7ff80cb9a8be,6852608
shared-library,/usr/lib/system/libsystem_containermanager.dylib,0x7ff80bbc12a0,0x7ff80bbe1e19,6852608
shared-library,/usr/lib/system/libsystem_coreservices.dylib,0x7ff80e668600,0x7ff80e66c2a0,6852608
